Customer;Consumption Category;00:30;01:00;01:30;02:00;02:30;03:00;03:30;04:00;04:30;05:00;05:30;06:00;06:30;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00;22:30;23:00;23:30;00:00
1;GC;0,052;0,284;0,23;0,258;0,219;0,134;0,872;0,727;0,073;0,119;0,732;0,805;0,034;0,084;0,232;0,052;0,412;0,128;0,04;0,14;0,079;0,395;0,168;0,188;0,269;0,275;0,187;0,115;0,312;0,084;0,154;0,282;0,229;0,252;0,232;0,16;0,108;0,133;0,094;0,141;0,194;0,18;0,178;0,171;0,108;0,924;0,925;0,15
1;GG;0;0;0;0;0;0;0;0;0;0;0;0;0,019;0,063;0,131;0,325;0,65;0,869;1,069;1,238;1,388;1,5;1,594;1,656;1,688;1,706;1,688;1,663;1,606;1,525;1,438;1,294;1,125;1,025;0,769;0,544;0,3;0,069;0,038;0,013;0;0;0;0;0;0;0;0
24;GC;0,153;0,141;0,17;0,152;0,141;0,172;0,143;0,149;0,17;0,135;0,136;0,171;0,136;0,333;0,487;0,456;0,119;0,147;0,114;0,114;0,147;0,116;0,116;0,146;0,111;0,11;0,146;0,115;0,117;0,156;0,117;0,119;0,156;0,117;0,118;0,166;0,141;0,283;0,517;0,544;0,766;0,738;0,906;0,826;0,427;0,232;0,243;0,163
24;GG;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,181;0,375;0,6;0,813;1,031;1,325;1,575;1,744;1,95;2,125;2,225;2,294;2,313;2,275;2,206;1,969;1,906;1,888;1,75;1,525;1,4;1,1;0,813;0,575;0,238;0,038;0;0;0;0;0;0;0;0;0
42;GC;0,294;0,269;0,325;0,319;0,2;0,281;0,281;0,2;0,275;0,331;0,256;0,313;0,288;0,256;0,413;0,35;0,231;0,263;0,288;0,231;0,275;0,281;0,281;0,306;0,319;0,231;0,3;0,3;0,35;0,331;0,381;0,281;0,306;0,325;0,338;0,238;0,456;1,144;0,6;0,406;0,419;0,363;0,313;0,444;0,581;0,663;0,369;0,313
42;GG;0;0;0;0;0;0;0;0;0;0;0;0;0,013;0,144;0,35;0,556;0,763;0,95;1,119;1,256;1,381;1,481;1,531;1,6;1,606;1,619;1,581;1,544;1,394;1,394;1,288;1,069;1,013;0,788;0,606;0,325;0,15;0,081;0,044;0;0;0;0;0;0;0;0;0
67;GC;0,495;0,191;0,225;0,188;0,22;0,207;0,22;0,266;0,264;0,127;0,201;0,256;0,158;0,254;0,31;0,532;0,68;0,538;0,455;0,389;0,383;0,343;0,407;0,412;0,424;0,169;0,208;0,256;0,312;0,359;0,395;0,432;0,449;0,318;0,447;0,325;0,267;0,221;0,278;0,235;0,412;0,496;0,553;0,387;0,987;0,53;0,613;0,214
67;GG;0;0;0;0;0;0;0;0;0;0;0;0;0,019;0,05;0,306;0,45;0,619;0,775;0,919;1,038;1,125;1,2;1,275;1,338;1,338;1,313;1,275;1,231;1,169;1,081;0,988;0,881;0,75;0,538;0,35;0,181;0,063;0,025;0;0;0;0;0;0;0;0;0;0
74;GG;0;0;0;0;0;0;0;0;0;0;0;0;0,006;0,038;0,069;0,094;0,344;0,725;0,8;1,025;1,094;1,225;1,319;1,413;1,488;1,544;1,588;1,594;1,594;1,563;1,519;1,463;1,363;1,244;1,081;0,863;0,594;0,1;0,031;0,006;0;0;0;0;0;0;0;0
74;GC;0,084;0,082;0,107;0,138;0,121;0,135;0,132;0,087;0,079;0,08;0,078;0,078;0,078;0,078;0,167;0,076;0,076;0,073;0,048;0,05;0,05;0,049;0,232;0,257;0,262;0,232;0,174;0,177;0,162;0,298;0,208;0,237;0,226;0,293;0,159;0,161;0,127;0,082;0,061;0,121;0,273;0,184;0,203;0,175;0,181;0,138;0,075;0,057
